Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p36,0.9,5.0,1.0,1.3580511528512091,1.3580511528512091,0.4096814770958507,0.033926094823422716,0.34328369394060015,0.4747605096186835,0.552897510402748,0.02893707390768506,0.49116780191008935,0.5958610862264904,0.9166034538586767,0.050960174073798374,0.80309991639449,0.9878656920396475,1.012957074776383,1.1086155476341089,1.011649436066486,0.186,0.7455,1.697847364613171,0.09791843204766086,1.696854878968893,0.9222462203023758
AR1_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p36,0.9,10.0,1.0,1.3580511528512091,1.3580511528512091,0.4096971928317581,0.033926683073878604,0.3432974639657719,0.47477808326543547,0.552897510402748,0.02893707390768506,0.49116780191008935,0.5958610862264904,0.9166034538586767,0.050960174073798374,0.80309991639449,0.9878656920396475,1.0129567515952513,1.1086155476341089,1.011649436066486,0.186,0.7455,1.697847669570071,0.09793137141163187,1.6968544364221363,0.9222462203023758
AR1_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p36,0.9,5.0,2.5,1.3580511528512091,1.3580511528512091,0.39870903298358323,0.03802679069962609,0.3255619168558007,0.46945608641476916,0.5315174602999782,0.03551114680902098,0.4610506440239726,0.5828810626991875,0.9417484393409696,0.047373951291600803,0.7991831460399321,0.9895407666175202,1.009560605077784,1.0804825173722639,1.002543729422933,0.1925,0.7355,1.6992014671886626,0.09732748976281563,1.6982467483464936,0.9157667386609071
AR1_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p36,0.9,10.0,2.5,1.3580511528512091,1.3580511528512091,0.3987241719163576,0.03802771231790353,0.3255749962545402,0.4694733878992822,0.5315174602999782,0.03551114680902098,0.4610506440239726,0.5828810626991875,0.9417484393409696,0.047373951291600803,0.7991831460399321,0.9895407666175202,1.0095601365840754,1.0804825173722639,1.002543729422933,0.1925,0.7355,1.6992017575581029,0.0973400201194418,1.6982463197854147,0.9157667386609071
AR1_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p36,0.9,5.0,5.0,1.3580511528512091,1.3580511528512091,0.3954535211430813,0.03640262490660014,0.3230365656911128,0.465775152762354,0.5197450525853453,0.0404382012606464,0.4646461784880495,0.629885764676515,0.9240049894455066,0.04873605052492476,0.7900277989219902,0.9877900711490907,1.0086498223008407,1.0530883666328326,1.0005203435668022,0.206,0.703,1.7038568969653058,0.09398506541749013,1.7031030036067687,0.9136069114470843
AR1_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p36,0.9,10.0,5.0,1.3580511528512091,1.3580511528512091,0.39546827510273325,0.036403456474416396,0.32304950029909785,0.4657913656065516,0.5197450525853453,0.0404382012606464,0.4646461784880495,0.629885764676515,0.9240049894455066,0.04873605052492476,0.7900277989219902,0.9877900711490907,1.0086491581489925,1.0530883666328326,1.0005203435668022,0.206,0.703,1.7038571820964938,0.09399741921238804,1.703102606221778,0.9136069114470843
AR1_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p19,0.9,5.0,5.0,1.3580511528512091,1.1882947587448078,0.398862920953615,0.037416358111696815,0.329127494074212,0.48417319496377975,0.4980588793791367,0.04774850759395641,0.40999053787652445,0.5780222539720103,0.9486571566615618,0.0294795053396469,0.8769819783116081,0.9856733156498403,1.0223350150423378,1.0676258657981452,1.0489519715059588,0.20750000000000002,0.7635000000000001,1.7055215931205927,0.09556276802304599,1.7046841371811536,0.9157667386609071
AR1_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p19,0.9,10.0,5.0,1.3580511528512091,1.1882947587448078,0.3988770014597871,0.03741723209466044,0.3291392064869963,0.4841893163141831,0.4980588793791367,0.04774850759395641,0.40999053787652445,0.5780222539720103,0.9486571566615618,0.0294795053396469,0.8769819783116081,0.9856733156498403,1.0223364301266946,1.0676258657981452,1.0489519715059588,0.20750000000000002,0.7635000000000001,1.7055218819225066,0.09557446110772141,1.7046837697895147,0.9157667386609071
AR1_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p19,0.9,5.0,2.5,1.3580511528512091,1.1882947587448078,0.39624567169935077,0.03732581576499108,0.31834538186648803,0.46355811572748523,0.5140615019110812,0.026895773633841134,0.45579792087912113,0.5678082025147574,0.8984480630289041,0.06003203102440637,0.7625866304431845,0.9811270730892119,1.0438408799480088,1.0725396693643834,1.0475767524381525,0.20700000000000002,0.663,1.705711630656206,0.09271939370532253,1.7050320197935795,0.9157667386609071
AR1_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p19,0.9,10.0,2.5,1.3580511528512091,1.1882947587448078,0.39625963588971397,0.037326550645832075,0.3183564474866076,0.4635732981870305,0.5140615019110812,0.026895773633841134,0.45579792087912113,0.5678082025147574,0.8984480630289041,0.06003203102440637,0.7625866304431845,0.9811270730892119,1.0438417602610652,1.0725396693643834,1.0475767524381525,0.20700000000000002,0.663,1.7057119169057617,0.09273104658893516,1.7050316716834235,0.9157667386609071
