Output_File,Exists
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\completed_primary_ar1_fixedZ_best.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\scenario3_ar1_fixedZ_results.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\scenario3_baseline_results.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\model_performance_comparison_validation.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\evaluation_metrics_comparison_all_methods.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\best_bayesian_vs_comparison_methods.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\best_model_missing_posterior_summary.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\best_model_mu_tau_phi_trace_draws.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\missingness_indicator_R.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\model_missingness_indicator_R_with_validation.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\validation_holdout_mask.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\multi_seed_bayesian_validation_results.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\multi_seed_baseline_validation_results.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\multi_seed_validation_summary_all_methods.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\diagnostics\all_ar1_fixedZ_model_diagnostics.csv,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\diagnostics\model_diagnostics_report.txt,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\graphics\validation_rmse_model_comparison.png,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\graphics\validation_coverage_bayesian_models.png,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\graphics\rhat_diagnostics_top_models.png,True
F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_fixedZ_results\graphics\missingness_heatmap_direct_data.png,True
