Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,0.8487819705320057,0.49334176195318064,0.03336240746055591,0.42706737262088273,0.5577359760051548,0.9575271163454767,0.03544279269725725,0.8654950118440358,1.030383365922609,0.4887947204230736,0.06385431651382921,0.3700416007454179,0.6130560523186197,0.6659953321892135,0.0005667159078309411,0.664793832384342,0.6667189704344677,1.0047089835539993,1.082021774216789,1.0158249616172486,1.3656835671337049,0.2125,0.372,0.008,1.8044103221423995,0.2180340796678276,1.7931263893137743,0.91792656587473
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.0185383646384067,0.4716644261822033,0.05561305008042986,0.36223298177566754,0.5668423928000786,0.7962918141444418,0.026113410936926398,0.7486816605208367,0.842474479198995,0.902681114055976,0.0766957322742778,0.7310901924644025,0.987660671538129,0.8326712325823451,0.16543521803463315,0.6663872293867671,0.9981654349282708,1.7560201758534746,1.0121730896453354,1.3157109547098698,265.5741425373735,0.20450000000000002,0.694,0.007666666666666667,1.6850697779756751,0.12556552990531084,1.6822025279199924,0.9330453563714903
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p19,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.1882947587448078,0.3665656918626555,0.08450978628162048,0.25442342562985737,0.5202090300531494,0.4504453283420788,0.36392620132976117,0.07934896064893249,0.8508308679340763,0.8703018044685513,0.08276708927721017,0.6945232663976197,0.9755018557722264,0.9971523185559505,0.0020234870863634615,0.9920897575050468,0.9992805186329253,3.126779362558586,29.941827783821058,2.1415667325234784,1.4975709214781723,0.1805,0.65,0.009000000000000001,1.6888531824119963,0.05760663779147672,1.6896961299041289,0.9244060475161987
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.3580511528512091,0.4439248878507514,0.04513071712795857,0.36205533154317887,0.5361453920633161,0.8086393593000945,0.03108795523579595,0.7480599599049659,0.8703441751674112,0.9511367563817359,0.03355191183010947,0.8805167813996144,0.99,0.9981212050748078,0.0009441964269766616,0.9964217020889018,0.9993918070398314,1.034918510571214,1.2778382984738932,1.2045888821600943,3.161024540608529,0.1895,0.782,0.0085,1.6397164626869996,0.05831667311030602,1.6404516191385379,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,0.8487819705320057,0.4486051212985933,0.07686751973407506,0.30823040717776495,0.5673137629236057,0.7467466107410996,0.15074775220991812,0.5702527906593671,0.956958350526516,0.6755447953976437,0.2717543579326723,0.30827675656532877,0.9873909384056124,0.8324603948428705,0.16653096205844067,0.6657744053873113,0.9991709143238195,2.7401295662879934,5.78669825124325,7.069013655984961,895.8639677682194,0.216,0.5635,0.008333333333333333,1.7378510567692758,0.1631765430882618,1.732044788076913,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.0185383646384067,0.4316446832578883,0.08528051721022105,0.280890773691924,0.5645031044184379,0.6158952541011992,0.10562558965449408,0.45883098229994496,0.7612977425353249,0.7265955131181346,0.19448513277406734,0.43404344634233505,0.9815208550386113,0.832615140692372,0.16560003986784233,0.664493361245838,0.9992154446837365,2.925925111552891,4.0845440403367315,2.805734953718808,197.5900881385431,0.1975,0.528,0.0075,1.7416184893720226,0.16100052386493624,1.7360366157007752,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p19,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.1882947587448078,0.3715829558967841,0.043428296895065575,0.28633330230868065,0.47062284875871324,0.5352314055012614,0.05618663538343977,0.42378574504044686,0.6207116173151723,0.9171684058455786,0.04952352472090126,0.8168582867435747,0.9850503616735499,0.9976367885379195,0.0009944877250979325,0.9957858144669173,0.9990934067779295,1.0174603241002125,0.9992898029192729,0.9994773994364263,1.4781006093367615,0.202,0.6759999999999999,0.009666666666666667,1.713020322020674,0.08316655976706705,1.7128510077012586,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p36,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.3580511528512091,0.3822430590952979,0.044138644901610465,0.29593981982817624,0.46632152738893534,0.5727974480667734,0.04820235368580861,0.4941680994809303,0.6716714846970591,0.925357535710314,0.05597895339481018,0.8047110101421547,0.9893126529149256,0.9982266786194972,0.0009428945843479133,0.9960571774735514,0.9992098509404711,0.999725063135223,1.0288549439095487,1.0004321313003697,1.5933793729642154,0.202,0.711,0.007666666666666667,1.6977204689880436,0.08496158329268158,1.6974272716447814,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY2p04_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,2.0370767292768135,0.8487819705320057,0.3509290437046421,0.035312658092289034,0.2840028189952384,0.4107555906683517,0.34334221838166784,0.060484625482356384,0.2573624548996659,0.4930781288797844,0.7154378158435938,0.2252879356076517,0.20900974704229744,0.9884850435730279,0.9981757043953491,0.0009392864914484161,0.9961494692316268,0.9993002524603614,1.1318462975234183,1.0961256195504714,1.0049744369342943,1.1252508692541485,0.1815,0.5175000000000001,0.006666666666666666,1.7563088166106984,0.10661879079991494,1.7549658559995298,0.9697624190064795
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY2p04_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,2.0370767292768135,1.0185383646384067,0.3317258100872877,0.06281507288130099,0.23034886186248188,0.46158237320164575,0.2512064653495676,0.08821439436313959,0.13617296894222772,0.38822117077411616,0.44299729617787015,0.14806971189449009,0.09361155944270189,0.6564757383579092,0.9967496736251477,0.00160168184474715,0.9937968127177239,0.9989428619259358,1.6374650273211278,6.04640019649812,1.0077675744135075,1.0119960766811384,0.182,0.364,0.010833333333333334,1.7703217175405719,0.09592336397319642,1.7696331285855753,0.9676025917926566
