Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(1,1)",10.0,2.5,1.3580511528512091,1.3580511528512091,0.43901246828543483,0.044837547809781206,0.3505302532997529,0.5268702797045473,0.8216070127987996,0.040548341798183986,0.7669631152617402,0.9076862506679861,0.9471341118924259,0.037398034493335015,0.8610608097351032,0.989976318632807,0.9976570217298922,0.0005909187499354497,0.9966453120708384,0.9983819841921852,1.0063056922750064,1.010643367496224,1.0049935396523588,2.1998798519434564,0.20600000000000002,0.788,0.007,1.6365263594102242,0.05233122832830708,1.63745871696573,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(1,1)",5.0,2.5,1.3580511528512091,1.3580511528512091,0.4389879999204013,0.04483603027273294,0.3505081865377544,0.5268441982713911,0.8216070127987996,0.040548341798183986,0.7669631152617402,0.9076862506679861,0.9471341118924259,0.037398034493335015,0.8610608097351032,0.989976318632807,0.9976570217298922,0.0005909187499354497,0.9966453120708384,0.9983819841921852,1.0063050068109995,1.010643367496224,1.0049935396523588,2.1998798519434564,0.20600000000000002,0.788,0.007,1.6365268855137314,0.052312841852515515,1.6374598326857628,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",10.0,1.0,1.3580511528512091,1.3580511528512091,0.44394935113626915,0.04513228161726481,0.3620779754588262,0.5361739319365428,0.8086393593000945,0.03108795523579595,0.7480599599049659,0.8703441751674112,0.9511367563817359,0.03355191183010947,0.8805167813996144,0.99,0.9981212050748078,0.0009441964269766616,0.9964217020889018,0.9993918070398314,1.0349242629918753,1.2778382984738932,1.2045888821600943,3.161024540608529,0.1895,0.782,0.0085,1.6397160213116457,0.05833510541165271,1.640450520230886,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",5.0,1.0,1.3580511528512091,1.3580511528512091,0.4439248878507514,0.04513071712795857,0.36205533154317887,0.5361453920633161,0.8086393593000945,0.03108795523579595,0.7480599599049659,0.8703441751674112,0.9511367563817359,0.03355191183010947,0.8805167813996144,0.99,0.9981212050748078,0.0009441964269766616,0.9964217020889018,0.9993918070398314,1.034918510571214,1.2778382984738932,1.2045888821600943,3.161024540608529,0.1895,0.782,0.0085,1.6397164626869996,0.05831667311030602,1.6404516191385379,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p02,"Beta(1,1)",10.0,5.0,1.3580511528512091,1.0185383646384067,0.4442193797221426,0.042784778687743705,0.3619160967969556,0.5322949722072097,0.831216338680467,0.036850995498609075,0.7558411727333468,0.9039007178930073,0.9317716379485731,0.03862272491849391,0.8423599168651128,0.9859033829051973,0.9989139696654807,0.0008948809927728105,0.9967458182687888,0.9994600556100753,1.005261992146265,1.0811762434551178,1.0319246555172696,1.2534729203063872,0.21300000000000002,0.725,0.006,1.6397860466087715,0.05663810364625828,1.6405802591036305,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p02,"Beta(1,1)",5.0,5.0,1.3580511528512091,1.0185383646384067,0.4441945534915873,0.0427836092287698,0.3618927487137533,0.532268987583529,0.831216338680467,0.036850995498609075,0.7558411727333468,0.9039007178930073,0.9317716379485731,0.03862272491849391,0.8423599168651128,0.9859033829051973,0.9989139696654807,0.0008948809927728105,0.9967458182687888,0.9994600556100753,1.0052624197912654,1.0811762434551178,1.0319246555172696,1.2534729203063872,0.21300000000000002,0.725,0.006,1.6397865191769134,0.056619419396001854,1.6405813787950043,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(1,1)",10.0,5.0,1.3580511528512091,1.3580511528512091,0.4427771227650544,0.04317261244701572,0.3618875873513547,0.5324331482264878,0.80658310859177,0.03386389101892029,0.7146226272078602,0.8637528565305944,0.9571030852178931,0.02870787639714338,0.87448009458317,0.99,0.9985739373779109,0.000833743988533914,0.9960614500535386,0.999628134099441,1.037946180101922,1.0160894016007036,1.118371583944485,1.5758747271829663,0.1905,0.7885,0.007166666666666667,1.6398171613224233,0.05465360112447831,1.6406788802405405,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(1,1)",5.0,5.0,1.3580511528512091,1.3580511528512091,0.4427527174323775,0.04317130826156573,0.36186563839086944,0.5324054313269583,0.80658310859177,0.03386389101892029,0.7146226272078602,0.8637528565305944,0.9571030852178931,0.02870787639714338,0.87448009458317,0.99,0.9985739373779109,0.000833743988533914,0.9960614500535386,0.999628134099441,1.037942753411518,1.0160894016007036,1.118371583944485,1.5758747271829663,0.1905,0.7885,0.007166666666666667,1.6398176515959413,0.05463520098034664,1.640679985478023,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(1,1)",10.0,5.0,1.3580511528512091,1.1882947587448078,0.4396627754756372,0.042315931655731866,0.36156428877415975,0.5236618857007499,0.8079110063228717,0.045907194702723204,0.7174286270549624,0.8999927054480982,0.9413787069136452,0.03890838428887826,0.8480099114740645,0.9894129195863447,0.9990230171988953,0.0004789966363592508,0.9978753765851249,0.9997880780501666,0.9995506553764989,1.1028356751036346,1.027342881040024,1.0607014223585347,0.20450000000000002,0.736,0.007666666666666667,1.6422339270600925,0.04914331356022694,1.643274016786012,0.9481641468682506
AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(1,1)",5.0,5.0,1.3580511528512091,1.1882947587448078,0.43963861038101015,0.04231469011858221,0.36154261138932703,0.5236360579972344,0.8079110063228717,0.045907194702723204,0.7174286270549624,0.8999927054480982,0.9413787069136452,0.03890838428887826,0.8480099114740645,0.9894129195863447,0.9990230171988953,0.0004789966363592508,0.9978753765851249,0.9997880780501666,0.9995508831637729,1.1028356751036346,1.027342881040024,1.0607014223585347,0.20450000000000002,0.736,0.007666666666666667,1.6422344591602336,0.04912499190167478,1.6432750987063445,0.9481641468682506
