Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,2.5,1.3580511528512091,1.3580511528512091,0.4137288821834737,0.038463539969310546,0.34036289036113243,0.4883230896771282,0.6739070109332466,0.05820691522075548,0.5876168870285745,0.7827344578768503,0.9015676299546113,0.052111716248752354,0.7807610223448399,0.9848901917960848,0.9469682667029237,0.0074594324172394385,0.9363734185631557,0.960401963390649,1.019743676638319,1.6560201458670945,1.1649359132828478,1.8707200086282196,0.1885,0.699,0.005333333333333333,1.671529261010921,0.07353846235857106,1.6717171113533724,0.9330453563714903
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,2.5,1.3580511528512091,1.3580511528512091,0.4137102439131039,0.03846226748695078,0.3403477370655245,0.4882996713211854,0.6739070109332466,0.05820691522075548,0.5876168870285745,0.7827344578768503,0.9015676299546113,0.052111716248752354,0.7807610223448399,0.9848901917960848,0.9469682667029237,0.0074594324172394385,0.9363734185631557,0.960401963390649,1.0197377173399684,1.6560201458670945,1.1649359132828478,1.8707200086282196,0.1885,0.699,0.005333333333333333,1.6715292787043388,0.0735237293056816,1.671717778524428,0.9330453563714903
AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,1.0,1.3580511528512091,1.3580511528512091,0.4128744284340405,0.0384640357499696,0.34141053221024303,0.49113667350779683,0.6085404591435937,0.03894104038993011,0.5381285916268553,0.6717766574388706,0.9436551454767644,0.0422075105986209,0.8382531679808685,0.99,0.9336975330063725,0.014941144879153835,0.9051489038036991,0.9468120641304916,1.0488312914571656,1.6238373525165868,1.0019494874375894,2.79259244541038,0.21000000000000002,0.735,0.005333333333333334,1.6795809114091738,0.07921846468899817,1.6795264013168334,0.9308855291576674
AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,1.0,1.3580511528512091,1.3580511528512091,0.4128919687960133,0.03846522777506263,0.3414250370515483,0.49115684913840224,0.6085404591435937,0.03894104038993011,0.5381285916268553,0.6717766574388706,0.9436551454767644,0.0422075105986209,0.8382531679808685,0.99,0.9336975330063725,0.014941144879153835,0.9051489038036991,0.9468120641304916,1.0488410894306774,1.6238373525165868,1.0019494874375894,2.79259244541038,0.21000000000000002,0.735,0.005333333333333334,1.6795809846358518,0.07923255770468529,1.679525808478921,0.9308855291576674
AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,5.0,1.3580511528512091,1.3580511528512091,0.41270940992588717,0.03732723804127873,0.341293227500485,0.4857758685133542,0.6080867778615201,0.03833924452350535,0.5405254796361343,0.669770659783157,0.9276990000099736,0.041244004386555067,0.8329315124511457,0.9857789715671591,0.926996193042071,0.012223229048528485,0.9071117800942932,0.9397334210807392,1.0246169819687654,1.9007000471836433,1.0630117178315683,5.494163078956421,0.2155,0.7284999999999999,0.006333333333333333,1.6862584222164996,0.08518093381453405,1.6859272408144157,0.9287257019438445
AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,5.0,1.3580511528512091,1.3580511528512091,0.4127267367060536,0.0373282375101783,0.34130857514801216,0.4857965513457457,0.6080867778615201,0.03833924452350535,0.5405254796361343,0.669770659783157,0.9276990000099736,0.041244004386555067,0.8329315124511457,0.9857789715671591,0.926996193042071,0.012223229048528485,0.9071117800942932,0.9397334210807392,1.024625045238144,1.9007000471836433,1.0630117178315683,5.494163078956421,0.2155,0.7284999999999999,0.006333333333333333,1.6862585590367276,0.08519489053047714,1.6859266712148215,0.9287257019438445
AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(2,3)",2.0,3.0,5.0,5.0,1.3580511528512091,1.1882947587448078,0.4002107386384135,0.03474183549949724,0.33333327732508355,0.4684545943711287,0.5154800176022445,0.0332697206445152,0.462630043155923,0.5810445542925394,0.9466853821124629,0.06036737312233346,0.7379354992268239,0.99,0.9229848090979804,0.019562531535272723,0.8699063063654165,0.9442999584457885,1.0137022131592068,1.1149424071207148,1.0136910671432795,1.1224388479223801,0.2175,0.7495,0.007,1.6947727797183412,0.09620682057512735,1.6938701219781678,0.91792656587473
AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(2,3)",2.0,3.0,10.0,5.0,1.3580511528512091,1.1882947587448078,0.40022547986233187,0.03474266153368296,0.3333456793886763,0.4684715730145708,0.5154800176022445,0.0332697206445152,0.462630043155923,0.5810445542925394,0.9466853821124629,0.06036737312233346,0.7379354992268239,0.99,0.9229848090979804,0.019562531535272723,0.8699063063654165,0.9442999584457885,1.0137049732726529,1.1149424071207148,1.0136910671432795,1.1224388479223801,0.2175,0.7495,0.007,1.6947730684039315,0.09621908617688074,1.6938697132404048,0.91792656587473
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p19,"Beta(2,3)",2.0,3.0,10.0,2.5,1.3580511528512091,1.1882947587448078,0.28638006764003304,0.12331358999211506,0.11707585102449665,0.46242284077684576,0.3069061519699671,0.2513656683245455,0.04829444611624168,0.6091951186669465,0.8394374578867317,0.13360664796444624,0.5897955754977908,0.9833609844417376,0.9364235766454898,0.006382395920199261,0.926027477557322,0.9501024316266165,5.638241194170627,17.014978177936754,1.7902422644896838,0.9994365235303915,0.185,0.6365000000000001,0.005333333333333333,1.724757682256414,0.01274368784701612,1.7265761630373355,0.9136069114470843
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p19,"Beta(2,3)",2.0,3.0,5.0,2.5,1.3580511528512091,1.1882947587448078,0.2863713129068821,0.12330662492272206,0.11707515096305617,0.4624068548258986,0.3069061519699671,0.2513656683245455,0.04829444611624168,0.6091951186669465,0.8394374578867317,0.13360664796444624,0.5897955754977908,0.9833609844417376,0.9364235766454898,0.006382395920199261,0.926027477557322,0.9501024316266165,5.638041183539924,17.014978177936754,1.7902422644896838,0.9994365235303915,0.185,0.6365000000000001,0.005333333333333333,1.724757882129443,0.012736359134367069,1.7265764173260139,0.9136069114470843
