Rank_by_RMSE,Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,Z_mean,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Method_Type
1,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(2,3)",10.0,2.5,0.9469682667029237,1.3580511528512091,1.3580511528512091,1.671529261010921,0.07353846235857106,1.6717171113533724,0.9330453563714903,1.019743676638319,1.6560201458670945,1.1649359132828478,1.8707200086282196,0.1885,0.699,0.005333333333333333,Bayesian AR(1) sampled Z
2,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(2,3)",5.0,2.5,0.9469682667029237,1.3580511528512091,1.3580511528512091,1.6715292787043388,0.0735237293056816,1.671717778524428,0.9330453563714903,1.0197377173399684,1.6560201458670945,1.1649359132828478,1.8707200086282196,0.1885,0.699,0.005333333333333333,Bayesian AR(1) sampled Z
3,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(2,3)",5.0,1.0,0.9336975330063725,1.3580511528512091,1.3580511528512091,1.6795809114091738,0.07921846468899817,1.6795264013168334,0.9308855291576674,1.0488312914571656,1.6238373525165868,1.0019494874375894,2.79259244541038,0.21000000000000002,0.735,0.005333333333333334,Bayesian AR(1) sampled Z
4,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,3)",10.0,1.0,0.9336975330063725,1.3580511528512091,1.3580511528512091,1.6795809846358518,0.07923255770468529,1.679525808478921,0.9308855291576674,1.0488410894306774,1.6238373525165868,1.0019494874375894,2.79259244541038,0.21000000000000002,0.735,0.005333333333333334,Bayesian AR(1) sampled Z
5,MICE-style iterative regression,,,,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,,,,,Comparison method
6,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,3)",5.0,5.0,0.926996193042071,1.3580511528512091,1.3580511528512091,1.6862584222164996,0.08518093381453405,1.6859272408144157,0.9287257019438445,1.0246169819687654,1.9007000471836433,1.0630117178315683,5.494163078956421,0.2155,0.7284999999999999,0.006333333333333333,Bayesian AR(1) sampled Z
7,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p36,"Beta(2,3)",10.0,5.0,0.926996193042071,1.3580511528512091,1.3580511528512091,1.6862585590367276,0.08519489053047714,1.6859266712148215,0.9287257019438445,1.024625045238144,1.9007000471836433,1.0630117178315683,5.494163078956421,0.2155,0.7284999999999999,0.006333333333333333,Bayesian AR(1) sampled Z
8,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(2,3)",5.0,5.0,0.9229848090979804,1.3580511528512091,1.1882947587448078,1.6947727797183412,0.09620682057512735,1.6938701219781678,0.91792656587473,1.0137022131592068,1.1149424071207148,1.0136910671432795,1.1224388479223801,0.2175,0.7495,0.007,Bayesian AR(1) sampled Z
9,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p19,"Beta(2,3)",10.0,5.0,0.9229848090979804,1.3580511528512091,1.1882947587448078,1.6947730684039315,0.09621908617688074,1.6938697132404048,0.91792656587473,1.0137049732726529,1.1149424071207148,1.0136910671432795,1.1224388479223801,0.2175,0.7495,0.007,Bayesian AR(1) sampled Z
10,Gaussian NB baseline,,,,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,,,,,Comparison method
11,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p19,"Beta(2,3)",10.0,2.5,0.9364235766454898,1.3580511528512091,1.1882947587448078,1.724757682256414,0.01274368784701612,1.7265761630373355,0.9136069114470843,5.638241194170627,17.014978177936754,1.7902422644896838,0.9994365235303915,0.185,0.6365000000000001,0.005333333333333333,Bayesian AR(1) sampled Z
12,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p19,"Beta(2,3)",5.0,2.5,0.9364235766454898,1.3580511528512091,1.1882947587448078,1.724757882129443,0.012736359134367069,1.7265764173260139,0.9136069114470843,5.638041183539924,17.014978177936754,1.7902422644896838,0.9994365235303915,0.185,0.6365000000000001,0.005333333333333333,Bayesian AR(1) sampled Z
13,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p19,"Beta(2,3)",5.0,1.0,0.9336804554165392,1.3580511528512091,1.1882947587448078,1.733303936047273,0.05933080903870578,1.7341619521756972,0.9028077753779697,2.1248970521332264,13.005558143234984,1.3679730821576515,1.0166956766553894,0.19,0.5815,0.007166666666666667,Bayesian AR(1) sampled Z
14,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p19,"Beta(2,3)",10.0,1.0,0.9336804554165392,1.3580511528512091,1.1882947587448078,1.7333040048201849,0.059338474031219515,1.7341617582366955,0.9028077753779697,2.125001626568017,13.005558143234984,1.3679730821576515,1.0166956766553894,0.19,0.5815,0.007166666666666667,Bayesian AR(1) sampled Z
15,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC0p849,"Beta(2,3)",5.0,2.5,0.7942139571274794,1.3580511528512091,0.8487819705320057,1.73617241035001,0.165623405997697,1.7301238679392446,0.9265658747300216,1.9889884497500327,4.891790398741957,6.087955201348895,24.814027752760197,0.197,0.5595,0.005833333333333333,Bayesian AR(1) sampled Z
16,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC0p849,"Beta(2,3)",10.0,2.5,0.7942139571274794,1.3580511528512091,0.8487819705320057,1.7361731848616926,0.165633189388309,1.7301237082298546,0.9265658747300216,1.9889451896266612,4.891790398741957,6.087955201348895,24.814027752760197,0.197,0.5595,0.005833333333333333,Bayesian AR(1) sampled Z
17,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC0p849,"Beta(2,3)",5.0,1.0,0.7898099762730041,1.3580511528512091,0.8487819705320057,1.7433205249945087,0.15941096482308978,1.737894667553283,0.9157667386609071,1.6481836555790503,6.263775788558756,7.8773494653967155,157.84441971514792,0.189,0.5855,0.007333333333333333,Bayesian AR(1) sampled Z
18,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC0p849,"Beta(2,3)",10.0,1.0,0.7898099762730041,1.3580511528512091,0.8487819705320057,1.7433212347113072,0.15942048019846677,1.7378945062997735,0.9157667386609071,1.6481228988621268,6.263775788558756,7.8773494653967155,157.84441971514792,0.189,0.5855,0.007333333333333333,Bayesian AR(1) sampled Z
19,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(2,3)",5.0,1.0,0.9184618020908741,1.3580511528512091,1.0185383646384067,1.7461712660541453,0.13029789030572417,1.7431866269280907,0.8941684665226782,1.0963296560652571,1.5135358879813055,1.0190376649248643,1.0069525576588896,0.184,0.7284999999999999,0.006666666666666667,Bayesian AR(1) sampled Z
20,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p02,"Beta(2,3)",10.0,1.0,0.9184618020908741,1.3580511528512091,1.0185383646384067,1.7461718853298387,0.13030782796620421,1.7431865041608658,0.8941684665226782,1.0963247871599302,1.5135358879813055,1.0190376649248643,1.0069525576588896,0.184,0.7284999999999999,0.006666666666666667,Bayesian AR(1) sampled Z
21,Naive mean,,,,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,,,,,Comparison method
