AR(1) structure scenario with sampled Z prior = Beta(2,3)
Best model for this Z prior: AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_2_3

Bayesian AR(1) sampled-Z results for Beta_2_3
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
 AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   2.5      1.358051      1.358051 0.413729 0.038464 0.340363  0.488323  0.673907 0.058207  0.587617   0.782734  0.901568 0.052112  0.780761   0.984890 0.946968 0.007459 0.936373 0.960402 1.019744  1.656020  1.164936     1.870720           0.1885           0.6990       0.005333         1.671529         0.073538       1.671717             0.933045
  AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   2.5      1.358051      1.358051 0.413710 0.038462 0.340348  0.488300  0.673907 0.058207  0.587617   0.782734  0.901568 0.052112  0.780761   0.984890 0.946968 0.007459 0.936373 0.960402 1.019738  1.656020  1.164936     1.870720           0.1885           0.6990       0.005333         1.671529         0.073524       1.671718             0.933045
  AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   1.0      1.358051      1.358051 0.412874 0.038464 0.341411  0.491137  0.608540 0.038941  0.538129   0.671777  0.943655 0.042208  0.838253   0.990000 0.933698 0.014941 0.905149 0.946812 1.048831  1.623837  1.001949     2.792592           0.2100           0.7350       0.005333         1.679581         0.079218       1.679526             0.930886
 AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   1.0      1.358051      1.358051 0.412892 0.038465 0.341425  0.491157  0.608540 0.038941  0.538129   0.671777  0.943655 0.042208  0.838253   0.990000 0.933698 0.014941 0.905149 0.946812 1.048841  1.623837  1.001949     2.792592           0.2100           0.7350       0.005333         1.679581         0.079233       1.679526             0.930886
  AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   5.0      1.358051      1.358051 0.412709 0.037327 0.341293  0.485776  0.608087 0.038339  0.540525   0.669771  0.927699 0.041244  0.832932   0.985779 0.926996 0.012223 0.907112 0.939733 1.024617  1.900700  1.063012     5.494163           0.2155           0.7285       0.006333         1.686258         0.085181       1.685927             0.928726
 AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   5.0      1.358051      1.358051 0.412727 0.037328 0.341309  0.485797  0.608087 0.038339  0.540525   0.669771  0.927699 0.041244  0.832932   0.985779 0.926996 0.012223 0.907112 0.939733 1.024625  1.900700  1.063012     5.494163           0.2155           0.7285       0.006333         1.686259         0.085195       1.685927             0.928726
