Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
1,MICE-style iterative regression,,,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,Comparison method
2,Gaussian Naive Bayes,,,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,Comparison method
3,Naive mean,,,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,Comparison method
4,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p19,0.7,5.0,2.5,1.6975639410640113,1.1882947587448078,1.7722055739516671,0.08419292951557439,1.7721193196886564,0.9352051835853131,4.768327999583779,3.3626053467968453,0.1985,Bayesian independent fixed Z
5,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p19,0.7,10.0,2.5,1.6975639410640113,1.1882947587448078,1.7722058593948478,0.08419893769214784,1.7721193196886564,0.9352051835853131,4.768465216252908,3.3626053467968453,0.1985,Bayesian independent fixed Z
6,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC0p849,0.7,5.0,2.5,1.6975639410640113,0.8487819705320057,1.7733521823875364,0.09590517060210707,1.7726723135074738,0.9308855291576674,5.866990483001462,8.383220346689068,0.20500000000000002,Bayesian independent fixed Z
7,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC0p849,0.7,10.0,2.5,1.6975639410640113,0.8487819705320057,1.7733523924221783,0.09590905420784922,1.7726723135074738,0.9308855291576674,5.867085160983429,8.383220346689068,0.20500000000000002,Bayesian independent fixed Z
8,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p02,0.7,5.0,1.0,1.3580511528512091,1.0185383646384067,1.7774082919901648,0.17328513793466854,1.770854470237476,0.8812095032397408,1.0625616721873126,2.423490308632525,0.196,Bayesian independent fixed Z
9,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p02,0.7,10.0,1.0,1.3580511528512091,1.0185383646384067,1.7774089802070159,0.17329219692238387,1.770854470237476,0.8812095032397408,1.0625617421143967,2.423490308632525,0.196,Bayesian independent fixed Z
10,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC1p36,0.7,5.0,1.0,1.6975639410640113,1.3580511528512091,1.7775929811811575,0.17443515954881622,1.770927100364506,0.937365010799136,1.057706490310327,1.0494965909510585,0.202,Bayesian independent fixed Z
11,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC1p36,0.7,10.0,1.0,1.6975639410640113,1.3580511528512091,1.7775941413666794,0.174446982098999,1.7709271003645062,0.937365010799136,1.057706667993088,1.0494965909510585,0.202,Bayesian independent fixed Z
12,Ind_FixedZ0p7_muSD5_HC5p0_sigY2p04_sigC1p19,0.7,5.0,5.0,2.0370767292768135,1.1882947587448078,1.7776396955640283,0.18681269020623575,1.7697085071253291,0.9654427645788337,1.167076234473745,3.9593608576787513,0.20550000000000002,Bayesian independent fixed Z
13,Ind_FixedZ0p7_muSD10_HC5p0_sigY2p04_sigC1p19,0.7,10.0,5.0,2.0370767292768135,1.1882947587448078,1.7776407186802254,0.18682242554647477,1.7697085071253291,0.9654427645788337,1.167112811599614,3.9593608576787513,0.20550000000000002,Bayesian independent fixed Z
