Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Rhat_mu,Rhat_tau,tau_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p19,0.7,5.0,2.5,1.6975639410640113,1.1882947587448078,0.3145744998392913,0.126058589257509,0.1159925684424787,0.4694587509336866,0.11541895951055114,0.07466043519934064,0.043672383259900374,0.26253383538397834,4.768327999583779,3.3626053467968453,0.1985,1.7722055739516671,0.08419292951557439,1.7721193196886564,0.9352051835853131
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p19,0.7,10.0,2.5,1.6975639410640113,1.1882947587448078,0.3145805519437184,0.12606336385977787,0.11599294151656912,0.46946958371579495,0.11541895951055114,0.07466043519934064,0.043672383259900374,0.26253383538397834,4.768465216252908,3.3626053467968453,0.1985,1.7722058593948478,0.08419893769214784,1.7721193196886564,0.9352051835853131
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC0p849,0.7,5.0,2.5,1.6975639410640113,0.8487819705320057,0.32546812033750777,0.11037202759525287,0.16255126970330133,0.47031327133373935,0.17088286526711088,0.1333558682192653,0.03644972481354361,0.3405681156418817,5.866990483001462,8.383220346689068,0.20500000000000002,1.7733521823875364,0.09590517060210707,1.7726723135074738,0.9308855291576674
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC0p849,0.7,10.0,2.5,1.6975639410640113,0.8487819705320057,0.3254721360339206,0.1103749934765138,0.16255169400896016,0.47032057632251567,0.17088286526711088,0.1333558682192653,0.03644972481354361,0.3405681156418817,5.867085160983429,8.383220346689068,0.20500000000000002,1.7733523924221783,0.09590905420784922,1.7726723135074738,0.9308855291576674
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p02,0.7,5.0,1.0,1.3580511528512091,1.0185383646384067,0.40301015807719426,0.021904081008023404,0.35991375568796874,0.44280977377294434,0.21004324311481615,0.04996497393504549,0.15250410623658797,0.29034068901568505,1.0625616721873126,2.423490308632525,0.196,1.7774082919901648,0.17328513793466854,1.770854470237476,0.8812095032397408
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p02,0.7,10.0,1.0,1.3580511528512091,1.0185383646384067,0.40301731085894876,0.021904208501684,0.3599205921259628,0.44281701183058153,0.21004324311481615,0.04996497393504549,0.15250410623658797,0.29034068901568505,1.0625617421143967,2.423490308632525,0.196,1.7774089802070159,0.17329219692238387,1.770854470237476,0.8812095032397408
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC1p36,0.7,5.0,1.0,1.6975639410640113,1.3580511528512091,0.4038692791672845,0.03235808921467872,0.35459051879283837,0.46901732483294784,0.20788290132713297,0.038547392771909515,0.13816512057741503,0.27525683924002997,1.057706490310327,1.0494965909510585,0.202,1.7775929811811575,0.17443515954881622,1.770927100364506,0.937365010799136
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC1p36,0.7,10.0,1.0,1.6975639410640113,1.3580511528512091,0.40388118865684175,0.032358582456797805,0.354601669469282,0.4690298716538911,0.20788290132713297,0.038547392771909515,0.13816512057741503,0.27525683924002997,1.057706667993088,1.0494965909510585,0.202,1.7775941413666794,0.174446982098999,1.7709271003645062,0.937365010799136
Ind_FixedZ0p7_muSD5_HC5p0_sigY2p04_sigC1p19,0.7,5.0,5.0,2.0370767292768135,1.1882947587448078,0.41768232999102417,0.04342178982204491,0.30286253089260357,0.4761031749012309,0.1657243486682771,0.07914279189531342,0.08060420481137856,0.31425871713454634,1.167076234473745,3.9593608576787513,0.20550000000000002,1.7776396955640283,0.18681269020623575,1.7697085071253291,0.9654427645788337
Ind_FixedZ0p7_muSD10_HC5p0_sigY2p04_sigC1p19,0.7,10.0,5.0,2.0370767292768135,1.1882947587448078,0.4176921580190313,0.04342404843626851,0.30286618508514196,0.4761163592816648,0.1657243486682771,0.07914279189531342,0.08060420481137856,0.31425871713454634,1.167112811599614,3.9593608576787513,0.20550000000000002,1.7776407186802254,0.18682242554647477,1.7697085071253291,0.9654427645788337
Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p36,0.7,5.0,1.0,2.0370767292768135,1.3580511528512091,0.41037084059858914,0.021716968999726763,0.3718322738599219,0.4547801108448399,0.20785123268728772,0.03649801726426158,0.14322387524935404,0.2915437537042442,1.0039740070233822,1.0850397783832524,0.226,1.7778070166463882,0.1813576766069286,1.7704454553974012,0.9654427645788337
Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p36,0.7,10.0,1.0,2.0370767292768135,1.3580511528512091,0.41038473312368345,0.021717116305977904,0.3718459096881292,0.4547943534746829,0.20785123268728772,0.03649801726426158,0.14322387524935404,0.2915437537042442,1.0039741809906442,1.0850397783832524,0.226,1.7778084236166807,0.18137146828969347,1.770445455397401,0.9654427645788337
Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p36,0.7,5.0,2.5,2.0370767292768135,1.3580511528512091,0.42504952435053917,0.017298594041942054,0.387784212753243,0.4558682890910936,0.18764695997852393,0.02807219976170405,0.15347256301113546,0.25111845434153823,1.0147283721687073,1.014994818496606,0.195,1.7778912756366705,0.19585991636612102,1.7689813502932472,0.9632829373650108
Ind_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p36,0.7,10.0,2.5,2.0370767292768135,1.3580511528512091,0.42506375337296043,0.01729867132438379,0.3877981891100988,0.45588282019737897,0.18764695997852393,0.02807219976170405,0.15347256301113546,0.25111845434153823,1.014729780169272,1.014994818496606,0.195,1.777892833858309,0.19587406040281588,1.7689813502932474,0.9632829373650108
Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p19,0.7,5.0,5.0,1.3580511528512091,1.1882947587448078,0.39767150807937396,0.02202692393631788,0.3423084074682751,0.4346376056695048,0.24451150203350405,0.04616146300121429,0.18318048770973674,0.327771158792846,1.072634483867169,1.0740011854074962,0.21200000000000002,1.7780271444394804,0.16939356546082998,1.7718541285109923,0.8855291576673866
Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p19,0.7,10.0,5.0,1.3580511528512091,1.1882947587448078,0.39767994484890584,0.02202708341848169,0.34231601705191167,0.43464642744821946,0.24451150203350405,0.04616146300121429,0.18318048770973674,0.327771158792846,1.0726344359349387,1.0740011854074962,0.21200000000000002,1.7780279379424564,0.16940189420376442,1.7718541285109923,0.8855291576673866
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p36,0.7,5.0,1.0,1.3580511528512091,1.3580511528512091,0.36766588353424295,0.020573237983936073,0.333353800892427,0.4099534973032992,0.17579738807189083,0.05040477945560466,0.12298541501357765,0.2857353382824168,1.1072575535689708,2.9634676216226223,0.1875,1.7780564008614526,0.14006624561132144,1.774448248686663,0.8833693304535637
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p36,0.7,10.0,1.0,1.3580511528512091,1.3580511528512091,0.3676744673657103,0.020573476721724725,0.3333626327333098,0.4099630488728703,0.17579738807189083,0.05040477945560466,0.12298541501357765,0.2857353382824168,1.1072689987168336,2.9634676216226223,0.1875,1.7780570732301142,0.14007478066700063,1.774448248686663,0.8833693304535637
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p36,0.7,5.0,2.5,1.6975639410640113,1.3580511528512091,0.39766374264181664,0.024740721300145006,0.34222502196344057,0.43510796433403226,0.18971852668081313,0.030716924891800546,0.1554335770195946,0.27862127285722976,1.0884287230645189,1.222308252175092,0.1855,1.7780925066690578,0.16977564584671453,1.771883213233241,0.9308855291576674
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p36,0.7,10.0,2.5,1.6975639410640113,1.3580511528512091,0.3976753298278202,0.02474078408211508,0.34223596053872346,0.4351193219190498,0.18971852668081313,0.030716924891800546,0.1554335770195946,0.27862127285722976,1.0884293992914587,1.222308252175092,0.1855,1.778093606440308,0.16978716357226914,1.771883213233241,0.9308855291576674
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p02,0.7,5.0,2.5,1.6975639410640113,1.0185383646384067,0.413929248320572,0.0227666393143438,0.3691411003078314,0.46455059149006256,0.2117689519743278,0.034140984321494844,0.16986376163265926,0.28727426234073017,1.0047585693331067,1.1466994792669938,0.201,1.7784069999926986,0.18172302258370324,1.77101170545559,0.9395248380129589
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p02,0.7,10.0,2.5,1.6975639410640113,1.0185383646384067,0.41393773378073384,0.022766794104638704,0.36914893330536397,0.46455915751317794,0.2117689519743278,0.034140984321494844,0.16986376163265926,0.28727426234073017,1.004758739604369,1.1466994792669938,0.201,1.7784078556971965,0.18173139662542384,1.7710117054555903,0.9395248380129589
Ind_FixedZ0p7_muSD5_HC5p0_sigY1p7_sigC1p02,0.7,5.0,5.0,1.6975639410640113,1.0185383646384067,0.42309167016567634,0.022343402753963515,0.380279991591166,0.4721477238328118,0.19741711611501858,0.04311126203263097,0.14109120409978324,0.2824568752896166,1.0625196312130767,0.9998781233270008,0.21,1.778833705869934,0.1944144889201988,1.7700902724258183,0.9395248380129589
Ind_FixedZ0p7_muSD10_HC5p0_sigY1p7_sigC1p02,0.7,10.0,5.0,1.6975639410640113,1.0185383646384067,0.4231003691994145,0.022343594296085022,0.38028844447926363,0.4721564330473779,0.19741711611501858,0.04311126203263097,0.14109120409978324,0.2824568752896166,1.0625197324492053,0.9998781233270008,0.21,1.778834645435063,0.19442308546884438,1.7700902724258183,0.9395248380129589
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC0p849,0.7,5.0,2.5,1.3580511528512091,0.8487819705320057,0.4157351587350466,0.021231585457467554,0.3792632016172688,0.4586414981504916,0.25742978397586813,0.026054888738410324,0.21540357439688176,0.3178418263289353,1.018488712323901,1.1956279110668329,0.1975,1.7794813226286286,0.1848403765993263,1.771769700882013,0.8898488120950324
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC0p849,0.7,10.0,2.5,1.3580511528512091,0.8487819705320057,0.4157410810262424,0.02123174040105445,0.37926889265399266,0.45864786702902594,0.25742978397586813,0.026054888738410324,0.21540357439688176,0.3178418263289353,1.018489466128834,1.1956279110668329,0.1975,1.7794819210863282,0.1848461379373039,1.771769700882013,0.8898488120950324
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC1p36,0.7,5.0,2.5,1.3580511528512091,1.3580511528512091,0.39371796629297967,0.02291304564741444,0.3496786004687703,0.43893445517099394,0.2499075612882355,0.033693016205967534,0.18999000309524208,0.3261984474614254,0.9999125350659048,1.0366542725794625,0.20850000000000002,1.779838257648716,0.16471638629624408,1.7741168991076932,0.8812095032397408
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC1p36,0.7,10.0,2.5,1.3580511528512091,1.3580511528512091,0.3937273680520327,0.022913220622210025,0.3496875276041313,0.4389440013341916,0.2499075612882355,0.033693016205967534,0.18999000309524208,0.3261984474614254,0.9999126613857858,1.0366542725794625,0.20850000000000002,1.779839118843955,0.16472569165647202,1.7741168991076932,0.8812095032397408
Ind_FixedZ0p7_muSD5_HC5p0_sigY1p7_sigC1p36,0.7,5.0,5.0,1.6975639410640113,1.3580511528512091,0.4002217157730654,0.029056535643029555,0.3319541733724089,0.4543528742037594,0.25832219922238375,0.034541787422028916,0.20310935991753085,0.3416325522860954,1.0263730413674303,1.0000422869103205,0.23,1.7799843784445275,0.17548176708888386,1.773229193266997,0.9352051835853131
Ind_FixedZ0p7_muSD10_HC5p0_sigY1p7_sigC1p36,0.7,10.0,5.0,1.6975639410640113,1.3580511528512091,0.40023360659924023,0.029056941753335397,0.3319643888743561,0.45436525227982866,0.25832219922238375,0.034541787422028916,0.20310935991753085,0.3416325522860954,1.026373777544812,1.0000422869103205,0.23,1.7799855380276117,0.17549352883093114,1.773229193266997,0.9352051835853131
Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC1p19,0.7,5.0,2.5,1.3580511528512091,1.1882947587448078,0.39470719099865187,0.021305226730630754,0.35359200661944945,0.4406211418068279,0.23880305687027106,0.039490791802900924,0.18017617557552287,0.3170423123018739,1.0494271043753909,1.0446010112787927,0.215,1.7799929994063157,0.16543524330926287,1.7742054483771885,0.8790496760259179
Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC1p19,0.7,10.0,2.5,1.3580511528512091,1.1882947587448078,0.3947154681619535,0.021305388807031776,0.35360001286922105,0.44063039631493467,0.23880305687027106,0.039490791802900924,0.18017617557552287,0.3170423123018739,1.0494288799301905,1.0446010112787927,0.215,1.7799937591837294,0.16544341789967507,1.7742054483771885,0.8790496760259179
Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p36,0.7,5.0,5.0,1.3580511528512091,1.3580511528512091,0.3942364403037704,0.027593912679218027,0.3429385649947464,0.45039506414269964,0.26536671852251276,0.04053146077843268,0.2116212561495035,0.3361346181726204,1.2826537532049969,1.111543868991926,0.2235,1.7800285879591151,0.16254813430889256,1.774508640914818,0.8876889848812095
Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p36,0.7,10.0,5.0,1.3580511528512091,1.3580511528512091,0.39424593239915995,0.027594185418056884,0.3429472671833624,0.4504050838204375,0.26536671852251276,0.04053146077843268,0.2116212561495035,0.3361346181726204,1.2826594890369514,1.111543868991926,0.2235,1.7800294448538456,0.1625575177045687,1.774508640914818,0.8876889848812095
Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p19,0.7,5.0,1.0,2.0370767292768135,1.1882947587448078,0.4072815607955215,0.025031776728885118,0.35994261637413316,0.45515473976697224,0.19647194649776104,0.03510818696500759,0.14268409371565136,0.27829591884010024,1.035542207797757,1.1266952695057484,0.20550000000000002,1.7801213561963136,0.17532652445215832,1.773382378661949,0.9654427645788337
