Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_Z_mean,tau_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,0.8487819705320057,0.2677612882594367,0.06419455822079963,0.13413618780306338,0.37429256657833354,0.4962359944800133,0.4392244759138758,0.045216725527769085,0.9992723059509462,0.9971465200982933,0.0013196933802607032,0.9950965706456747,0.9984435022198458,2.4706396730415134,19.590005517139762,1.3671571112485275,0.16999999999999998,0.008166666666666666,1.7720926116248064,0.03485999475744338,1.7736661431065637,0.9049676025917927
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.0185383646384067,0.2865943839989864,0.056438078220082524,0.1823258059647764,0.39172844239285476,0.5078700700977695,0.4253369942040609,0.0743946830337568,0.9764830900979912,0.9973613889197405,0.0013302662494053179,0.9948288128064937,0.998836014922798,1.744062614539611,21.358215969780392,1.2989478391228617,0.1585,0.008666666666666666,1.7716962768850981,0.057949781306586394,1.772663652275522,0.91792656587473
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p19,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.1882947587448078,0.37501301550157473,0.06373047704885207,0.2666934895742781,0.4793716793700588,0.8484637145768894,0.12409301088134074,0.6603229890352945,1.028285303342999,0.8314395515498313,0.16743544418283232,0.6619076529710072,0.9995427764942012,2.513298899284234,4.2601914359527955,178.11943710586795,0.21100000000000002,0.009666666666666667,1.7764508114279682,0.14947794616197846,1.7720655048105733,0.9222462203023758
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p36_sigC1p36,"Beta(1,1)",1.0,1.0,5.0,1.0,1.3580511528512091,1.3580511528512091,0.29310368191421626,0.12377419024869464,0.10189450936924502,0.46827783467514283,0.28777730396162876,0.245187797618464,0.038106465991161936,0.5917930816903725,0.6671381365376301,0.002630678828396489,0.6645773345975529,0.6742292305777297,5.2176186743900255,10.330202030210689,1.119577028240242,0.185,0.011166666666666667,1.77352948661539,0.06495761850388808,1.7742565920705322,0.8898488120950324
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,0.8487819705320057,0.3280285465931374,0.044666379001959466,0.23444635427655156,0.4105360604887962,0.38449852505890575,0.08501176630017854,0.24512462530450785,0.5147489048570888,0.998248771019771,0.0009934163541416058,0.9964073263437708,0.9995775219382765,1.0800833386074846,3.365650304972568,1.0627756756906315,0.1925,0.008166666666666668,1.7744982365983597,0.09689599832701246,1.7737673225882855,0.9308855291576674
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.0185383646384067,0.3348968579950831,0.038659460806737975,0.2589468329725778,0.4035391710382335,0.4471029607726039,0.03399994894513245,0.3881348334773889,0.5143752859727695,0.9981159988393724,0.0010094317048700697,0.9966355308743823,0.9991921912633791,1.0013429087760013,1.0079195677017623,7.638404019992418,0.1885,0.007333333333333333,1.7715623529629274,0.10540148585946991,1.7703369159925122,0.9352051835853131
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p19,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.1882947587448078,0.3433281461805182,0.03715116539381206,0.2652577275669074,0.4138546183436705,0.3593913445543303,0.07440785363006139,0.2578942084091887,0.48998797619730927,0.99712817258615,0.0009479944483713096,0.9955992590227374,0.9990338086284617,1.092236625655361,3.847448177430089,1.0500263209700715,0.188,0.008666666666666666,1.7751997614103283,0.11524924498936814,1.7733708366733956,0.937365010799136
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p36,"Beta(1,1)",1.0,1.0,5.0,1.0,1.6975639410640113,1.3580511528512091,0.22505787269372396,0.09411282381700402,0.09858403031069923,0.3983355786714525,0.25185418564143197,0.20719080744418472,0.04733355398337761,0.5982912540725296,0.9956209353358123,0.0022884446347063484,0.9910463497023161,0.9979191418926115,3.5703161043312064,5.277654621358672,1.4075375294585788,0.1925,0.011166666666666667,1.7756947721947212,-0.00843524311297182,1.7775954238679088,0.9395248380129589
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY2p04_sigC0p849,"Beta(1,1)",1.0,1.0,5.0,1.0,2.0370767292768135,0.8487819705320057,0.3288892760780688,0.04074242932045277,0.24523989312409697,0.4083689494453854,0.2605957268975849,0.05653600628977971,0.17127217523628432,0.37963848342655376,0.9990835529291703,0.0007080365388645793,0.9974962180671927,0.999686550012671,1.064889756349645,1.45434969483489,1.2836575136790456,0.1945,0.008,1.766723348594101,0.09602855946542364,1.7660198276272885,0.9676025917926566
Ind_SampledZ_Beta1_1_muSD5_HC1p0_sigY2p04_sigC1p02,"Beta(1,1)",1.0,1.0,5.0,1.0,2.0370767292768135,1.0185383646384067,0.35004169707223476,0.047110013651239784,0.26816133688957294,0.4515571442867065,0.27101033626782,0.05953878823557208,0.20261354115940716,0.4192278908179252,0.9982449739854851,0.0009660709306203892,0.996339660459086,0.9989655981183952,1.1685590445984566,1.8519438191896473,1.0911578552106675,0.1975,0.006833333333333334,1.7773696982684226,0.12114181268684153,1.7751545555940658,0.9632829373650108
